time,open,close,high,low,volume
1364828580000,105.175,105.175,105.175,105.175,0.1
1364828640000,105.125,105.04,105.125,105.04,0.8936999999999999
1364828820000,103.00999,103.0,103.00999,103.0,20.0
1364828880000,103.0,102.6,103.5199,102.6,50.98
1364828940000,102.77393,102.555,102.77393,102.555,0.1
1364829060000,100.2598,100.01,100.2598,100.01,10.0
1364829180000,100.0,100.0,100.0,100.0,25.0
1364829300000,100.80601,100.80601,100.80601,100.80601,0.00282526
1364829420000,100.9,100.00999,100.9,100.00999,41.56316
1364829480000,100.9,99.4,100.9,99.4,230.0
1364829540000,100.00999,96.3,100.81,96.3,43.80383000000001
1364829660000,100.5,100.5,100.5,100.5,3.0
1364829840000,100.28,100.1,100.28,100.1,5.0
1364829960000,100.01,100.0,100.01,100.0,3.91849965
1364830020000,99.4,98.95,99.77876,98.95,306.75836732
1364830080000,98.934,100.0,100.0,98.70342,187.89569093
1364830140000,98.70342,98.8,98.8,98.70342,3.2476207
1364830200000,99.0,99.0,99.0,99.0,3.0
1364830260000,99.0,99.0,99.0,99.0,14.0
1364830320000,98.9,99.0,99.0,98.9,10.0
1364830440000,99.00001,99.00001,99.00001,99.00001,1.0
1364830500000,99.0,99.00001,99.00001,99.0,140.0
1364830560000,99.0,99.0,99.0,99.0,14.0
1364830620000,99.0,99.0,99.0,99.0,1.5
1364830680000,100.01,100.9,101.0,100.01,71.37
1364830800000,100.33511,100.99999,101.0,100.33511,18.33776224
1364830920000,101.99,101.99,102.0,101.99,20.00996795
1364830980000,102.0,102.7,102.7,102.0,21.38558058
1364831040000,102.7,102.0,102.7,102.0,11.46445147
1364831340000,101.9,101.9,101.9,101.9,4.0
1364831400000,101.9,101.9,101.9,101.9,1.0
1364831640000,102.39,102.44,102.44,102.39,50.0
1364831880000,102.2,102.2,102.21505,102.2,120.0
1364832120000,103.29,103.29,103.29,103.29,4.2
1364832240000,103.3,103.3,103.3,103.3,1.48544888
1364832360000,103.45851,103.93,103.93,103.45851,20.0
1364832480000,103.98997,103.93,103.98997,103.93,6.97386763
1364832540000,103.99,104.0,104.0,103.93,227.68018430000004
1364832600000,104.0,104.0,104.0,104.0,0.05670257
1364832660000,104.0,104.29999,104.29999,104.0,25.0
1364832720000,104.5,104.3,104.5,104.3,10.0
1364832840000,104.39991,104.44,104.45,104.39991,1.39322555
1364832900000,104.45,104.44,104.45,104.39991,21.39322555
1364833020000,103.98,104.45,104.45,103.98,22.05677445
1364833080000,103.98101,104.0,104.0,103.98101,5.5
1364833260000,103.32,103.31999,103.32,103.31999,10.0
1364833740000,103.2,103.2,103.20001,103.2,25.0
1364833800000,103.02,103.0,103.02,103.0,10.0
1364834220000,103.02,103.02,103.02,103.02,12.0
1364834520000,103.02,103.28999,103.28999,103.02,8.39701976
1364834760000,103.01,103.01,103.01,103.01,10.0
1364834820000,103.03,103.03,103.03,103.03,15.0
1364834880000,103.2,103.19999,103.3,103.19999,41.97530756
1364834940000,103.29999,103.29999,103.29999,103.29999,0.17769745
1364835000000,103.19998,103.19998,103.19998,103.19998,0.40123892
1364835060000,103.29998,103.29998,103.29998,103.29998,0.22980559
1364835180000,103.03,103.03,103.03,103.03,1.13636364
1364835240000,103.03,103.0,103.03,103.0,10.86
1364835300000,103.03,103.0,103.03,103.0,20.0
1364835480000,102.58799,102.1,102.58799,102.1,52.29701976
1364835600000,102.2,102.43262,102.43262,102.2,1.793084
1364835660000,102.87899,102.87899,102.87899,102.87899,0.04076566
1364835960000,102.14764,102.01002,102.14764,102.01002,3.7975
1364836020000,102.0,102.0,102.0,102.0,1.0
1364836560000,102.20215,102.20215,102.20215,102.20215,2.0
1364836620000,102.20215,102.20215,102.20215,102.20215,2.0
1364837040000,103.0,103.0,103.0,103.0,17.39663098
1364837100000,103.0,103.0,103.0,103.0,8.69831549
1364837160000,103.17999,103.17999,103.17999,103.17999,3.0
1364837220000,103.17999,103.17999,103.17999,103.17999,0.29
1364837400000,102.99999,102.99999,102.99999,102.99999,0.04476497
1364837580000,102.98999,102.98999,102.98999,102.98999,0.04476498
1364837640000,102.9999,102.9999,102.9999,102.9999,3.0
1364839620000,102.49998,102.49998,102.49998,102.49998,5.0
1364839740000,102.49999,102.49999,102.49999,102.49999,3.0
1364843040000,103.458,103.458,103.458,103.458,16.69
1364843100000,103.458,103.45901,103.45901,103.458,19.5362
1364843460000,103.05557,103.05557,103.05557,103.05557,40.0
1364843760000,102.11099,102.11099,102.11099,102.11099,26.38198488
1364844000000,102.5,102.5,102.5,102.5,17.78044122
1364844060000,102.5,102.5,102.5,102.5,1.0
1364844120000,102.5,102.5,102.5,102.5,4.0
1364844540000,103.62998,103.62998,103.62998,103.62998,1.6975739
1364846340000,103.899,104.0,104.4,103.899,100.0
1364850180000,103.93,103.99998,104.4,103.93,70.0
1364850300000,104.49,104.49,104.49,104.49,1.0
1364851020000,103.5,103.1,103.5,103.1,38.33776224
1364852040000,104.5,104.5,104.5,104.5,50.0
1364853540000,104.30001,104.01,104.30001,104.01,15.0
1364855340000,105.5,105.5,105.5,105.5,10.0
1364855640000,105.0,105.0,105.0,105.0,12.0
1364857020000,105.0,105.0,105.0,105.0,26.21036503
1364858340000,103.0,103.0,103.0,103.0,70.0
1364859360000,102.23099,102.23099,102.23099,102.23099,3.53616
1364859420000,103.19696,103.5,103.5,103.19696,40.0
1364859540000,102.99999,103.7025,103.7025,102.99999,50.0
1364859600000,103.22979,102.53,103.22979,102.53,5.816
1364860500000,103.00007,103.00007,103.00007,103.00007,5.4
1364860620000,103.49951,103.49951,103.49951,103.49951,3.14837676
1364860680000,103.83018,103.999,103.999,103.83018,2.2
1364860980000,104.0,104.0,104.0,104.0,3.1332255
1364861520000,103.99001,103.99001,104.01871,103.99001,2.88547901
1364863140000,103.5,103.5,103.5,103.5,0.8
1364863380000,103.00001,103.0,103.00001,103.0,20.0
1364864160000,103.24871,103.24871,103.24871,103.24871,13.5
1364864400000,102.89999,102.89999,102.89999,102.89999,0.03283929
1364864460000,102.89999,102.89999,102.89999,102.89999,0.03283929
1364864580000,102.53,102.43,102.53,102.43,5.0
1364864940000,102.43,102.43,102.43,102.43,2.90063027
1364865060000,103.68,103.68,103.68,103.68,0.10417
1364865360000,102.43,102.33,102.43,102.33,6.8
1364866080000,102.97,102.93,102.97,102.93,2.0
1364866200000,103.38,103.38,103.38,103.38,1.0
1364866500000,103.48,103.48,103.48,103.48,6.93184203
1364866620000,103.69998,103.69998,103.69998,103.69998,5.49653748
1364866800000,103.01,103.01,103.01,103.01,3.0
1364866860000,103.29391,102.37,103.29391,102.37,12.46247571
1364868000000,102.8,102.8,102.8,102.8,15.0
1364868660000,103.67909,103.67909,103.67909,103.67909,20.0
1364869020000,103.35637,103.35637,103.35637,103.35637,2.80603972
1364869080000,103.4,103.4,103.4,103.4,0.033
1364870100000,104.09,104.09,104.09,104.08787,2.0282387
1364870280000,103.98788,103.98788,103.98788,103.98788,4.9717613
1364870760000,104.99901,104.99901,104.99901,104.99901,3.04700463
1364872020000,105.0,105.0,105.0,105.0,5.0
1364872080000,105.0,105.0,105.0,105.0,2.276
1364872140000,105.0,105.0,105.0,105.0,44.724
1364874720000,104.86,104.7,104.86,104.7,15.995
1364874900000,105.3,105.6,105.6,104.99999,15.995
1364875140000,105.4,104.75,105.4,104.75,4.3732
1364875200000,104.72,104.72,104.72,104.72,10.6268
1364875440000,105.40001,105.4,105.40001,105.4,0.15406281
1364875500000,105.49,105.49,105.49,105.49,4.84593719
1364875560000,105.53,105.52001,105.53,105.52001,10.0
1364875620000,105.79896,105.7,105.79896,105.7,7.18423353
1364875740000,105.71001,105.70001,105.71001,105.7,9.79203509
1364875860000,106.0,106.0,106.0,106.0,20.0
1364876040000,106.0,106.0,106.0,106.0,1.0
1364876100000,105.9,106.0,106.0,105.9,54.0
1364876340000,104.25,103.5,104.25,103.5,55.0
1364876400000,104.23927,104.23927,104.23927,104.23927,0.8281
1364877180000,104.998,104.998,104.998,104.998,0.5670000000000001
1364879280000,103.0,103.0,103.0,103.0,16.7163398
1364879340000,102.37,103.0,103.0,102.0,37.12
1364879400000,102.0,101.36001,102.0,100.1,814.47
1364879460000,102.0,102.0,102.0,102.0,10.0
1364879580000,101.28924,99.0,101.28924,99.0,89.83699999999996
1364879700000,101.0,99.0,101.0,99.0,79.0
1364879820000,101.0,101.0,101.0,101.0,20.0
1364879880000,100.99999,101.0,101.0,100.99999,30.18812376
1364880000000,101.36004,101.36004,101.36004,101.36004,5.0
1364880060000,101.0,101.0,101.0,101.0,10.0
1364880360000,103.0,103.0,103.0,103.0,20.0
1364880600000,103.08,103.0,103.08,103.0,15.0
1364880660000,102.45002,102.0,102.45002,102.0,9.85846562
1364881380000,102.75,102.75,102.75,102.75,25.0
1364881440000,102.75,103.0,103.0,102.75,97.64853438
1364882040000,102.95,102.98,102.98,102.95,50.0
1364883180000,102.99,103.0,103.0,102.99,20.0
1364884080000,102.0,102.0,102.0,102.0,20.0
1364884380000,102.0,102.0,102.0,102.0,20.0
1364885040000,101.09001,101.02,101.09001,101.02,10.0
1364886120000,102.79801,102.79801,102.79801,102.79801,25.0
1364887020000,102.0,102.0,102.0,102.0,0.88327519
1364887320000,102.0,102.747,102.747,102.0,45.0
1364889600000,102.77689,102.77689,102.77689,102.77689,0.0498486
1364891040000,102.8,102.95,102.95,102.8,1.15669264
1364891100000,102.96,102.96,102.96,102.96,0.09957
